CHILC2,HHD9,LASTGIFT,AVGGIFT,RFA_2F,ODATEW_YR,ODATEW_MM,MINRDATE_YR,TARGET_D,TARGET_B
20,1,13.0,10.92857143,3,86,1,87,0.0,0
14,3,30.0,27.5,1,95,1,94,0.0,0
20,12,10.0,9.363636364,3,88,1,88,0.0,0
15,2,10.0,11.0,2,90,1,90,13.0,1
17,2,15.0,8.0,2,86,1,88,0.0,0
18,6,30.0,20.0,1,94,1,94,0.0,0
28,3,15.0,9.2,1,92,1,92,0.0,0
21,10,10.0,8.75,3,95,1,94,0.0,0
16,7,15.0,15.0,1,96,1,95,0.0,0
16,11,15.0,9.571428571,1,88,1,89,0.0,0
15,6,15.0,11.66666667,1,94,1,94,0.0,0
10,8,20.0,11.22222222,2,91,1,91,0.0,0
14,8,18.0,18.25,1,92,1,92,0.0,0
20,2,50.0,50.0,1,96,1,96,0.0,0
16,8,31.0,18.0,1,91,1,91,0.0,0
18,2,25.0,25.0,1,96,1,95,0.0,0
12,2,15.0,9.769230769,1,90,1,91,0.0,0
16,12,4.0,4.428571429,4,95,1,94,0.0,0
13,16,12.0,9.4,3,92,1,92,10.0,1
20,7,10.0,6.444444444,4,90,1,93,0.0,0
15,5,11.0,6.782608696,1,87,1,88,0.0,0
19,6,15.0,10.57142857,1,94,1,93,0.0,0
17,11,5.0,6.652173913,4,87,1,88,0.0,0
8,3,10.0,6.25,1,88,1,91,0.0,0
18,5,20.0,20.0,1,96,1,96,0.0,0
0,0,20.0,13.0952381,2,86,1,90,0.0,0
18,11,5.0,4.285714286,3,94,1,95,5.0,1
14,19,25.0,14.8,2,88,1,88,0.0,0
15,4,6.0,9.769230769,2,87,1,87,0.0,0
13,1,25.0,13.66666667,1,87,1,87,0.0,0
13,1,27.0,24.0,2,95,1,94,0.0,0
15,5,6.0,4.428571429,4,93,1,95,0.0,0
17,9,100.0,37.77777778,1,86,1,88,0.0,0
17,1,15.0,10.33333333,1,95,1,94,0.0,0
17,6,25.0,24.0,1,91,1,91,0.0,0
15,5,10.0,8.619047619,1,86,1,91,0.0,0
16,3,22.0,15.66666667,1,95,1,96,0.0,0
14,9,15.0,15.0,1,96,1,96,0.0,0
16,3,25.0,18.72727273,2,87,1,87,0.0,0
18,5,15.0,9.0,1,94,1,94,0.0,0
15,4,25.0,25.0,1,96,1,96,25.0,1
13,9,31.0,16.33333333,3,86,1,88,0.0,0
11,3,10.0,8.333333333,3,95,1,95,0.0,0
13,1,45.0,41.42424242,1,89,1,91,0.0,0
17,16,10.0,11.0,4,95,1,96,0.0,0
20,4,10.0,9.5,4,95,1,94,0.0,0
17,3,15.0,8.625,1,91,1,92,0.0,0
16,2,5.0,5.055555556,4,90,1,92,0.0,0
21,2,15.0,15.0,1,94,1,95,0.0,0
18,5,12.0,7.523809524,2,86,1,88,0.0,0
17,8,40.0,32.5,2,96,1,95,0.0,0
18,4,10.0,11.66666667,2,95,1,95,10.0,1
19,24,15.0,7.272727273,1,86,1,87,0.0,0
13,18,6.0,6.4,3,95,1,94,0.0,0
20,8,25.0,25.0,1,96,1,96,0.0,0
21,2,15.0,12.2,1,94,1,93,0.0,0
15,3,10.0,11.23076923,3,90,1,95,0.0,0
19,2,21.0,14.57142857,1,86,1,87,0.0,0
15,2,15.0,23.5,1,94,1,96,0.0,0
17,12,30.0,12.5,1,94,1,95,0.0,0
14,6,20.0,14.55555556,1,91,1,91,0.0,0
10,8,21.0,10.6,1,93,1,93,0.0,0
13,4,10.0,10.42857143,4,92,1,92,0.0,0
16,8,46.0,43.75,2,95,1,95,0.0,0
18,7,27.0,15.11111111,2,90,1,90,0.0,0
17,2,22.0,16.0,1,94,1,93,0.0,0
14,5,20.0,16.0,1,93,1,94,0.0,0
16,4,8.0,7.08,4,89,1,91,0.0,0
18,4,15.0,9.666666667,1,91,1,92,0.0,0
21,9,10.0,11.65217391,3,87,1,87,0.0,0
14,4,32.0,15.0,1,88,1,92,0.0,0
14,2,20.0,15.4,1,94,1,93,0.0,0
21,5,20.0,12.22222222,1,86,1,88,0.0,0
15,7,52.0,51.0,1,95,1,95,0.0,0
9,2,6.0,5.285714286,4,94,1,94,0.0,0
12,3,11.0,7.666666667,3,95,1,95,0.0,0
16,7,20.0,15.0,1,95,1,95,0.0,0
15,15,7.0,7.818181818,3,91,1,91,0.0,0
20,3,25.0,17.5,1,95,1,94,0.0,0
15,24,29.0,16.83333333,1,90,1,90,0.0,0
17,7,30.0,24.5,1,86,1,88,0.0,0
16,8,20.0,12.42105263,1,86,1,86,0.0,0
15,4,13.0,8.6,3,91,1,91,0.0,0
13,5,16.0,8.3125,1,87,1,87,0.0,0
15,6,22.0,15.66666667,1,94,1,94,0.0,0
15,6,20.0,18.875,3,94,1,93,0.0,0
19,6,10.0,10.44444444,4,88,1,92,0.0,0
20,30,15.0,7.25,1,90,1,92,0.0,0
20,7,10.0,4.318421053,2,86,1,90,0.0,0
19,6,7.0,7.333333333,4,94,1,95,0.0,0
15,11,11.0,11.88888889,3,88,1,93,0.0,0
18,7,20.0,8.421052632,2,88,1,88,0.0,0
16,5,15.0,15.0,1,96,1,95,0.0,0
11,8,23.0,23.0,1,96,1,96,0.0,0
19,14,10.0,6.583333333,4,87,1,92,0.0,0
14,11,15.0,12.5,1,95,1,94,0.0,0
17,21,15.0,12.33333333,2,95,1,94,0.0,0
20,7,6.0,4.555555556,4,94,1,95,0.0,0
15,4,25.0,25.0,1,96,1,96,0.0,0
17,6,14.0,15.88235294,1,93,1,94,0.0,0
16,3,37.0,31.75,1,90,1,90,0.0,0
13,4,10.0,8.777777778,2,90,1,92,0.0,0
22,4,15.0,15.0,1,96,1,96,0.0,0
15,17,23.0,23.0,1,96,1,96,0.0,0
18,7,15.0,10.33333333,1,94,1,94,0.0,0
15,5,20.0,14.0,1,94,1,93,0.0,0
15,37,20.0,15.0,2,95,1,95,0.0,0
16,3,10.0,6.666666667,3,92,1,92,0.0,0
0,0,20.0,20.0,2,96,1,96,0.0,0
10,3,15.0,10.0,2,95,1,94,0.0,0
17,6,100.0,75.0,3,96,1,95,0.0,0
17,4,11.0,7.1875,1,86,1,89,0.0,0
21,2,50.0,50.0,1,96,1,96,0.0,0
11,2,6.0,13.0,2,96,1,96,0.0,0
19,8,25.0,25.0,1,95,1,95,0.0,0
22,0,6.0,5.083333333,4,91,1,92,0.0,0
21,4,20.0,10.5,1,91,1,91,0.0,0
13,6,10.0,7.3,4,94,1,94,8.0,1
14,13,20.0,15.0,1,95,1,95,0.0,0
14,4,15.0,10.0,1,95,1,95,0.0,0
15,3,25.0,25.0,1,96,1,96,0.0,0
14,6,25.0,25.0,1,96,1,95,0.0,0
17,37,6.0,5.769230769,3,90,1,92,0.0,0
15,6,10.0,6.551724138,3,86,1,89,0.0,0
18,5,10.0,8.75,3,95,1,95,0.0,0
17,6,12.0,10.66666667,3,95,1,95,0.0,0
12,6,5.0,4.466666667,4,90,1,91,0.0,0
19,8,10.0,11.66666667,2,95,1,94,0.0,0
16,3,20.0,10.69230769,2,88,1,89,10.0,1
17,10,38.0,19.75,1,89,1,90,0.0,0
17,5,21.0,17.0,3,93,1,93,0.0,0
17,5,15.0,9.75,2,91,1,93,0.0,0
19,2,25.0,14.77777778,3,88,1,89,0.0,0
12,24,25.0,12.61538462,2,87,1,90,0.0,0
22,5,15.0,12.5,1,93,1,93,0.0,0
21,5,20.0,12.0,1,93,1,93,0.0,0
10,4,19.0,13.25,1,88,1,89,0.0,0
19,6,17.0,11.75,1,92,1,92,0.0,0
16,3,7.0,9.576923077,3,87,1,95,20.0,1
13,4,18.0,12.42857143,1,90,1,90,0.0,0
21,48,21.0,13.66666667,2,95,1,95,0.0,0
19,4,20.0,17.5,1,95,1,95,0.0,0
16,11,25.0,12.0,3,95,1,94,0.0,0
18,3,10.0,8.0,3,95,1,94,0.0,0
18,2,6.0,5.8,4,95,1,95,0.0,0
22,5,15.0,12.16666667,2,94,1,94,0.0,0
19,5,20.0,15.0,1,95,1,95,0.0,0
14,2,10.0,6.117647059,1,88,1,88,0.0,0
16,4,15.0,15.0,1,88,1,91,0.0,0
20,17,15.0,15.0,1,96,1,96,0.0,0
17,4,20.0,12.5,3,86,1,89,0.0,0
15,7,17.0,10.53333333,3,89,1,90,0.0,0
16,4,25.0,20.3,2,92,1,92,0.0,0
16,4,20.0,15.33333333,1,91,1,92,0.0,0
19,6,16.0,9.583333333,1,87,1,87,0.0,0
19,1,10.0,7.461538462,2,89,1,94,0.0,0
23,3,11.0,7.25,3,95,1,95,0.0,0
27,2,25.0,15.0,1,91,1,91,0.0,0
22,3,10.0,8.625,4,93,1,93,0.0,0
20,4,10.0,7.2,3,91,1,93,0.0,0
12,5,31.0,18.33333333,3,90,1,92,0.0,0
18,3,10.0,9.1,2,90,1,90,0.0,0
20,4,9.0,8.757575758,2,86,1,92,0.0,0
16,3,10.0,11.91666667,3,88,1,95,0.0,0
19,10,10.0,5.764705882,4,90,1,91,0.0,0
16,5,15.0,15.0,1,96,1,96,0.0,0
17,5,10.0,9.0,2,90,1,94,5.0,1
12,3,17.0,13.85714286,2,92,1,92,0.0,0
19,7,9.0,6.545454545,3,90,1,92,0.0,0
17,4,13.0,10.25,2,90,1,90,16.0,1
15,3,15.0,8.5,1,93,1,93,0.0,0
18,3,15.0,7.666666667,2,95,1,94,0.0,0
21,3,30.0,20.0,2,90,1,90,0.0,0
16,3,10.0,7.0,3,95,1,95,0.0,0
17,7,22.0,10.53333333,2,86,1,88,0.0,0
18,23,15.0,12.5,2,96,1,96,0.0,0
15,11,15.0,8.111111111,2,90,1,90,0.0,0
15,8,13.0,8.866666667,3,86,1,87,0.0,0
16,5,20.0,12.0,1,86,1,94,0.0,0
20,5,15.0,13.83333333,1,92,1,92,0.0,0
20,5,25.0,28.0,3,94,1,93,0.0,0
19,1,17.0,20.6875,3,90,1,90,0.0,0
17,6,20.0,20.0,1,96,1,96,0.0,0
13,4,20.0,17.33333333,2,88,1,92,0.0,0
20,7,5.0,4.142857143,4,95,1,95,0.0,0
12,6,21.0,16.82352941,3,89,1,94,0.0,0
14,4,7.0,14.11111111,2,90,1,92,10.0,1
0,0,60.0,25.0,2,86,1,87,0.0,0
15,4,15.0,13.0,1,92,1,95,0.0,0
17,4,16.0,8.222222222,1,88,1,89,0.0,0
14,6,17.0,15.33333333,2,94,1,94,0.0,0
17,6,15.0,8.444444444,1,86,1,87,0.0,0
27,5,17.0,12.33333333,1,94,1,93,0.0,0
13,3,11.0,7.166666667,1,90,1,90,0.0,0
18,5,15.0,12.20588235,4,86,1,91,0.0,0
18,8,10.0,7.333333333,3,95,1,95,0.0,0
13,6,21.0,13.5,1,86,1,87,26.0,1
18,3,12.0,10.57142857,2,86,1,91,0.0,0
12,5,5.0,4.254901961,4,86,1,94,10.0,1
16,8,12.0,7.428571429,2,86,1,87,0.0,0
15,2,21.0,11.85714286,1,92,1,92,0.0,0
16,4,18.0,14.0,1,91,1,91,0.0,0
18,5,50.0,35.0,1,92,1,92,0.0,0
15,5,50.0,37.5,1,94,1,94,0.0,0
16,4,25.0,14.21428571,4,91,1,91,0.0,0
21,8,15.0,15.0,1,95,1,95,0.0,0
16,2,20.0,20.0,1,96,1,95,15.0,1
18,12,5.0,5.0,4,92,1,95,0.0,0
19,3,3.0,9.0,2,96,1,96,0.0,0
19,29,5.0,13.61538462,2,90,1,96,0.0,0
16,7,20.0,15.0,1,95,1,95,0.0,0
19,5,15.0,12.33333333,1,92,1,92,0.0,0
19,5,10.0,12.6,2,90,1,97,0.0,0
17,29,10.0,8.0,3,95,1,95,0.0,0
13,4,15.0,18.13333333,4,88,1,93,0.0,0
18,7,25.0,25.0,1,96,1,96,0.0,0
17,4,25.0,14.625,1,90,1,92,0.0,0
20,24,25.0,19.33333333,2,90,1,90,0.0,0
15,5,20.0,16.25,1,92,1,92,0.0,0
24,18,20.0,18.75,1,89,1,89,0.0,0
11,7,20.0,16.66666667,1,95,1,95,0.0,0
14,9,17.0,9.5625,2,87,1,87,0.0,0
17,9,10.0,8.307692308,2,90,1,90,0.0,0
16,4,16.0,13.0,2,95,1,94,0.0,0
19,6,20.0,8.555555556,1,92,1,94,0.0,0
17,9,15.0,10.2,1,93,1,93,0.0,0
19,5,20.0,15.28571429,1,92,1,94,0.0,0
16,3,20.0,20.0,1,95,1,95,0.0,0
9,3,20.0,12.5,1,94,1,94,0.0,0
17,4,20.0,11.66666667,1,94,1,94,0.0,0
15,2,10.0,7.263157895,2,86,1,88,0.0,0
17,6,15.0,10.0,1,92,1,92,0.0,0
18,5,3.0,14.0,2,96,1,95,0.0,0
18,6,10.0,11.05555556,4,89,1,89,0.0,0
20,2,16.0,13.0,2,95,1,95,0.0,0
17,1,0.0,100.0,1,96,1,97,0.0,0
15,5,12.0,9.1,1,89,1,91,0.0,0
11,4,50.0,37.5,1,95,1,95,0.0,0
17,5,21.0,12.75,1,86,1,90,0.0,0
21,2,16.0,13.0,2,96,1,95,0.0,0
17,8,20.0,20.0,1,96,1,95,0.0,0
19,3,15.0,11.0,1,93,1,93,0.0,0
18,8,12.0,9.583333333,2,86,1,87,0.0,0
17,3,13.0,8.619047619,2,86,1,96,10.0,1
16,2,25.0,15.0,1,91,1,94,0.0,0
16,3,10.0,4.764705882,1,86,1,90,0.0,0
18,6,10.0,12.75,2,95,1,96,0.0,0
18,2,20.0,20.0,3,95,1,96,0.0,0
17,4,15.0,12.125,2,86,1,92,0.0,0
15,11,15.0,9.0,2,91,1,91,0.0,0
15,9,25.0,25.0,1,96,1,95,0.0,0
16,3,2.0,3.84,4,90,1,96,0.0,0
14,6,15.0,8.846153846,1,87,1,91,0.0,0
16,22,8.0,7.642857143,2,88,1,89,0.0,0
18,2,20.0,14.5,2,94,1,93,0.0,0
16,3,21.0,13.9,1,86,1,87,0.0,0
15,12,20.0,10.59090909,3,86,1,90,0.0,0
15,6,20.0,20.0,1,96,1,96,0.0,0
16,12,10.0,9.142857143,1,86,1,88,0.0,0
16,17,10.0,15.37545455,2,92,1,96,0.0,0
17,5,20.0,20.0,1,95,1,95,0.0,0
14,4,4.0,4.8,4,92,1,95,0.0,0
16,4,6.0,5.5,4,94,1,94,0.0,0
17,4,27.0,25.66666667,3,95,1,95,0.0,0
18,6,25.0,15.07333333,1,92,1,93,0.0,0
11,6,10.0,8.166666667,3,94,1,94,0.0,0
18,2,12.0,7.0625,1,88,1,92,0.0,0
18,10,30.0,29.16666667,4,93,1,93,0.0,0
20,2,20.0,10.14285714,1,92,1,92,0.0,0
16,7,13.0,8.476190476,3,86,1,87,0.0,0
22,2,15.0,10.0,2,96,1,95,0.0,0
19,4,25.0,25.0,1,96,1,96,0.0,0
11,6,25.0,16.75,1,89,1,91,0.0,0
12,13,15.0,9.25,1,88,1,89,0.0,0
16,9,30.0,16.27272727,2,86,1,88,0.0,0
14,5,15.0,13.68627451,4,86,1,89,0.0,0
16,20,10.0,3.460526316,2,86,1,87,0.0,0
18,3,17.0,12.8,2,91,1,91,0.0,0
14,3,6.0,3.545454546,4,92,1,93,0.0,0
14,1,15.0,11.75,4,95,1,95,0.0,0
17,2,15.0,10.36363636,1,88,1,89,0.0,0
21,4,25.0,17.42857143,1,90,1,90,0.0,0
18,19,5.0,2.8,4,89,1,93,0.0,0
19,7,10.0,10.81818182,1,88,1,89,0.0,0
17,1,15.0,13.6,1,89,1,89,0.0,0
12,1,15.0,15.0,1,96,1,96,0.0,0
15,4,17.0,12.33333333,2,95,1,95,0.0,0
12,6,20.0,20.0,1,96,1,96,0.0,0
15,16,15.0,12.5,2,96,1,95,0.0,0
18,7,20.0,15.72727273,1,86,1,90,0.0,0
15,5,15.0,8.2,1,89,1,91,0.0,0
18,2,50.0,36.0,1,95,1,95,0.0,0
16,6,25.0,17.77777778,1,91,1,91,0.0,0
17,4,25.0,13.0,1,93,1,93,0.0,0
16,2,12.0,7.333333333,1,88,1,88,0.0,0
15,9,20.0,12.14285714,1,92,1,92,0.0,0
16,7,102.0,68.11111111,1,88,1,88,0.0,0
13,4,25.0,11.0,1,94,1,94,0.0,0
15,9,17.0,12.6,2,91,1,92,0.0,0
18,8,15.0,12.75,1,92,1,92,0.0,0
15,3,23.0,6.625,3,94,1,94,0.0,0
18,6,25.0,17.5,1,92,1,92,0.0,0
14,4,6.0,4.368421053,3,87,1,92,0.0,0
16,6,10.0,14.61538462,2,91,1,91,0.0,0
18,4,15.0,11.5,2,92,1,92,0.0,0
13,4,7.0,6.725,4,91,1,91,0.0,0
14,5,15.0,11.28571429,2,90,1,90,0.0,0
19,17,14.0,11.42857143,3,94,1,94,0.0,0
17,2,7.0,6.0,4,88,1,95,7.0,1
18,10,5.0,3.0,4,86,1,92,0.0,0
13,4,15.0,12.5,2,96,1,95,0.0,0
14,1,12.0,6.882352941,2,86,1,93,0.0,0
21,8,25.0,22.5,1,94,1,94,0.0,0
15,2,6.0,5.166666667,3,94,1,94,0.0,0
18,6,44.0,28.35135135,1,91,1,91,0.0,0
16,5,5.0,6.8,3,94,1,96,0.0,0
14,10,20.0,7.5,1,86,1,87,0.0,0
14,4,15.0,13.85714286,4,92,1,92,0.0,0
13,13,3.0,3.659090909,4,86,1,92,3.0,1
20,3,11.0,9.0,4,97,1,96,10.0,1
14,6,30.0,18.0,1,90,1,90,0.0,0
21,7,15.0,10.0,1,95,1,95,0.0,0
15,9,6.0,5.888888889,4,94,1,94,0.0,0
17,14,25.0,15.25,1,92,1,92,0.0,0
0,0,30.0,22.75,2,92,1,92,0.0,0
20,2,25.0,22.0952381,4,91,1,91,0.0,0
15,4,30.0,23.57142857,1,90,1,90,0.0,0
18,9,15.0,10.77777778,1,90,1,90,0.0,0
14,4,5.0,3.8125,4,90,1,90,0.0,0
19,3,15.0,13.66666667,2,95,1,94,0.0,0
16,5,17.0,12.0,1,90,1,91,0.0,0
16,1,50.0,24.16666667,1,92,1,92,0.0,0
19,17,15.0,11.66666667,1,91,1,93,0.0,0
12,4,15.0,15.0,1,95,1,95,0.0,0
17,4,10.0,15.23076923,1,91,1,91,0.0,0
16,4,15.0,12.28571429,2,93,1,93,0.0,0
16,8,20.0,20.0,1,96,1,95,0.0,0
18,12,15.0,8.833333333,3,92,1,92,0.0,0
15,3,20.0,20.0,1,96,1,96,0.0,0
17,5,21.0,14.2,1,91,1,91,0.0,0
14,2,5.0,3.866666667,4,86,1,86,0.0,0
15,1,20.0,20.0,1,96,1,96,0.0,0
20,3,15.0,9.833333333,4,89,1,94,0.0,0
17,4,15.0,15.0,1,96,1,95,0.0,0
17,13,15.0,11.0,1,88,1,90,0.0,0
16,2,21.0,10.0625,1,86,1,89,0.0,0
16,7,15.0,15.0,1,96,1,96,0.0,0
15,3,5.0,4.846153846,3,92,1,95,0.0,0
17,8,3.0,5.428571429,3,91,1,95,0.0,0
16,5,3.0,2.069767442,4,86,1,89,0.0,0
13,7,15.0,10.0,1,94,1,94,0.0,0
14,3,20.0,15.125,2,88,1,94,0.0,0
20,5,11.0,9.5,3,95,1,94,0.0,0
16,4,13.0,9.333333333,4,91,1,91,0.0,0
14,3,15.0,15.0,1,94,1,94,20.0,1
18,4,20.0,16.66666667,1,95,1,94,0.0,0
27,1,25.0,18.0,1,92,1,93,0.0,0
20,12,17.0,16.75,3,95,1,95,0.0,0
20,16,13.0,7.875,1,88,1,92,0.0,0
21,11,10.0,10.57142857,3,93,1,95,0.0,0
18,7,20.0,10.0,2,92,1,95,0.0,0
16,5,24.0,24.0,2,95,1,96,0.0,0
15,5,17.0,12.125,1,91,1,91,0.0,0
13,18,25.0,22.5,1,95,1,95,0.0,0
14,10,10.0,12.71428571,2,94,1,95,0.0,0
18,10,25.0,16.0,1,91,1,91,0.0,0
12,2,10.0,7.0,1,86,1,86,0.0,0
16,8,12.0,9.5625,1,86,1,87,0.0,0
18,3,20.0,17.5784507,4,87,1,89,0.0,0
14,5,25.0,15.2,1,94,1,94,0.0,0
15,6,15.0,8.384615385,2,86,1,89,0.0,0
15,3,15.0,10.5,1,93,1,93,0.0,0
17,5,4.0,6.5,3,95,1,96,0.0,0
17,4,25.0,11.0,1,88,1,89,0.0,0
15,3,18.0,11.53846154,3,92,1,93,0.0,0
15,4,12.0,6.642857143,1,91,1,94,0.0,0
15,2,20.0,12.125,1,86,1,94,0.0,0
16,8,19.0,13.07142857,1,86,1,88,0.0,0
17,17,17.0,12.0,1,90,1,90,0.0,0
15,22,5.0,5.333333333,4,95,1,94,0.0,0
17,11,20.0,10.0,1,92,1,93,0.0,0
17,6,15.0,11.0,1,89,1,91,0.0,0
19,10,25.0,14.55555556,3,89,1,91,26.0,1
17,10,20.0,20.0,1,96,1,95,0.0,0
20,14,10.0,8.222222222,1,88,1,88,10.0,1
16,0,20.0,13.0,1,91,1,94,0.0,0
10,2,5.0,11.17647059,3,88,1,96,0.0,0
17,5,25.0,25.0,1,96,1,96,0.0,0
16,3,30.0,18.2,1,93,1,93,0.0,0
17,4,25.0,17.5,1,94,1,93,0.0,0
19,2,13.0,11.66666667,3,95,1,95,0.0,0
15,6,16.0,7.833333333,1,86,1,89,0.0,0
9,4,7.0,5.444444444,4,91,1,95,0.0,0
16,4,12.0,6.0,3,91,1,92,0.0,0
14,7,20.0,15.0,1,94,1,94,0.0,0
16,3,20.0,20.0,1,95,1,95,0.0,0
15,7,15.0,11.0,1,95,1,94,0.0,0
21,8,10.0,5.75,1,86,1,88,0.0,0
19,2,20.0,14.375,1,90,1,90,0.0,0
15,3,25.0,24.0,2,94,1,95,0.0,0
21,7,11.0,9.0,3,95,1,94,0.0,0
13,12,25.0,13.0,1,89,1,90,0.0,0
15,17,100.0,20.0,1,86,1,92,0.0,0
17,6,20.0,12.33333333,1,90,1,90,0.0,0
14,8,25.0,18.33333333,1,94,1,93,0.0,0
21,8,12.0,11.0,3,95,1,95,0.0,0
14,8,15.0,12.33333333,1,90,1,89,0.0,0
19,9,7.0,6.2,4,91,1,93,10.0,1
18,17,7.0,5.333333333,4,91,1,92,0.0,0
12,5,3.0,3.652173913,4,90,1,95,0.0,0
19,7,10.0,9.434782609,3,86,1,94,0.0,0
24,6,25.0,14.8,1,91,1,91,0.0,0
13,2,5.0,13.33333333,1,95,1,96,0.0,0
18,7,9.0,9.25,4,94,1,93,0.0,0
25,3,10.0,8.888888889,2,91,1,96,0.0,0
19,8,20.0,11.5,1,94,1,93,20.0,1
13,14,21.0,17.0,1,91,1,93,0.0,0
17,9,15.0,10.0,2,95,1,95,0.0,0
18,1,15.0,15.0,1,96,1,96,25.0,1
19,7,21.0,15.25,1,90,1,90,0.0,0
16,3,17.0,10.44444444,1,88,1,90,0.0,0
12,4,15.0,10.18181818,1,87,1,87,0.0,0
16,7,15.0,12.83333333,1,88,1,88,0.0,0
11,2,20.0,14.25,1,89,1,89,0.0,0
20,6,16.0,7.833333333,1,90,1,91,0.0,0
16,4,5.0,9.032258065,3,89,1,96,0.0,0
15,4,5.0,5.5,3,86,1,86,0.0,0
13,13,15.0,12.5,1,95,1,95,0.0,0
17,8,5.0,4.928571429,4,88,1,88,0.0,0
14,5,50.0,27.91666667,2,90,1,90,0.0,0
17,6,10.0,6.95,2,86,1,86,0.0,0
15,5,16.0,10.5,2,94,1,93,0.0,0
13,5,15.0,9.333333333,2,89,1,91,0.0,0
14,3,10.0,19.0,3,90,1,95,0.0,0
13,13,10.0,8.333333333,3,95,1,95,0.0,0
19,10,20.0,14.0,1,94,1,93,0.0,0
17,1,10.0,10.26666667,2,88,1,88,0.0,0
17,5,15.0,15.0,1,96,1,96,0.0,0
12,0,10.0,7.0,3,94,1,95,0.0,0
